t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
32.275,1788242761.732568,1788242760.831766,-900.802,101.506,7e-05,-0.00798
32.377,1788242761.835654,1788242760.934096,-901.558,102.329,7e-05,-0.00798
32.484,1788242761.938779,1788242761.040851,-897.929,106.755,7e-05,-0.00798
32.583,1788242762.042212,1788242761.140009,-902.202,99.159,7e-05,-0.00798
32.688,1788242762.145037,1788242761.24482,-900.217,104.81,7e-05,-0.00798
32.79,1788242762.248099,1788242761.347016,-901.083,102.196,7e-05,-0.00798
32.908,1788242762.351223,1788242761.465025,-886.198,118.009,7e-05,-0.00798
32.995,1788242762.454489,1788242761.551309,-903.18,86.283,7e-05,-0.00798
33.1,1788242762.557245,1788242761.657277,-899.968,105.969,7e-05,-0.00798
33.205,1788242762.660859,1788242761.761436,-899.422,104.159,7e-05,-0.00798
33.306,1788242762.764143,1788242761.862735,-901.409,101.298,7e-05,-0.00798
33.408,1788242762.867416,1788242761.96508,-902.335,102.346,7e-05,-0.00798
33.511,1788242762.970867,1788242762.068052,-902.815,102.972,7e-05,-0.00798
33.615,1788242763.073829,1788242762.171622,-902.208,103.569,7e-05,-0.00798
33.718,1788242763.176853,1788242762.274292,-902.561,102.67,7e-05,-0.00798
33.825,1788242763.279931,1788242762.3818,-898.131,107.508,7e-05,-0.00798
33.924,1788242763.383342,1788242762.481244,-902.098,99.444,7e-05,-0.00798
34.148,1788242763.486748,1788242762.704659,-782.089,223.415,7e-05,-0.00798
34.149,1788242763.589751,1788242762.705404,-884.347,0.745,7e-05,-0.00798
34.235,1788242763.693195,1788242762.792243,-900.952,86.839,7e-05,-0.00798
34.342,1788242763.796101,1788242762.898589,-897.512,106.347,7e-05,-0.00798
34.442,1788242763.899223,1788242762.998291,-900.932,99.702,7e-05,-0.00798
34.543,1788242764.002466,1788242763.099892,-902.574,101.601,7e-05,-0.00798
34.648,1788242764.105948,1788242763.204874,-901.074,104.981,7e-05,-0.00798
34.75,1788242764.208844,1788242763.306311,-902.533,101.437,7e-05,-0.00798
34.854,1788242764.311808,1788242763.410973,-900.836,104.662,7e-05,-0.00798
34.956,1788242764.415335,1788242763.512896,-902.439,101.923,7e-05,-0.00798
35.061,1788242764.518393,1788242763.617356,-901.036,104.46,7e-05,-0.00798
35.164,1788242764.621769,1788242763.720607,-901.162,103.251,7e-05,-0.00798
35.269,1788242764.726447,1788242763.825345,-901.103,104.738,7e-05,-0.00798
35.369,1788242764.828157,1788242763.926245,-901.911,100.901,7e-05,-0.00798
35.474,1788242764.931215,1788242764.030324,-900.892,104.078,7e-05,-0.00798
35.576,1788242765.034423,1788242764.133021,-901.402,102.697,7e-05,-0.00798
35.68,1788242765.138106,1788242764.236709,-901.397,103.688,7e-05,-0.00798
