t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
432.197,1788243160.648359,30.3102,-2.4884,-0.4,0.63957,-0.0670812,0.0832822,0.0966995,0.722853,0.79973,0.28859,17.8170
433.964,1788243162.41203,30.5627,-2.5238,-2.014,0.67648,-0.0674967,0.087065,0.0963497,0.763545,0.82248,0.29507,17.7847
435.722,1788243164.175228,30.8037,-2.54,2.239,0.730873,-0.0657972,0.088227,0.0946372,0.8191,0.85491,0.29703,17.6260
437.481,1788243165.939055,31.1223,-2.5699,1.799,0.714328,-0.0738248,0.0858925,0.0919296,0.80022,0.84518,0.29307,17.3720
439.249,1788243167.702564,31.345,-2.5799,0.442,0.671633,-0.0609251,0.0881328,0.0932012,0.759766,0.81953,0.29687,17.4918
441.007,1788243169.465878,31.5973,-2.608,-0.869,0.601296,-0.0631923,0.082813,0.0881824,0.684109,0.77543,0.28777,17.0143
442.772,1788243171.229033,31.8694,-2.6161,-1.14,0.57628,-0.0662473,0.0926895,0.0875267,0.66897,0.75913,0.30445,16.9509
444.636,1788243173.096111,32.1491,-2.6437,-3.907,0.602418,-0.064284,0.0944516,0.0935888,0.69687,0.77616,0.30733,17.5281
446.503,1788243174.9628,32.3971,-2.673,-6.308,0.611549,-0.0652807,0.0953022,0.0873766,0.706851,0.78202,0.30871,16.9364
448.372,1788243176.829509,32.7097,-2.7331,-5.947,0.615366,-0.0758817,0.100876,0.0877726,0.716242,0.78445,0.31761,16.9747
450.237,1788243178.696143,32.9861,-2.7854,-7.484,0.56842,-0.0806764,0.0977002,0.0897515,0.66612,0.75394,0.31257,17.1650
452.206,1788243180.66529,33.3561,-2.8605,-7.559,0.577937,-0.0806304,0.090044,0.0932501,0.667981,0.76022,0.30007,17.4963
454.279,1788243182.737722,33.6937,-2.9319,-4.2,0.562391,-0.0804811,0.0845802,0.0936938,0.646971,0.74993,0.29083,17.5379
456.252,1788243184.706538,33.8593,-2.952,6.939,0.553235,-0.0889666,0.0700669,0.0770379,0.623302,0.74380,0.26470,15.9028
458.224,1788243186.678869,33.9364,-2.9626,-4.883,0.507287,-0.0749123,0.0464296,0.061949,0.553717,0.71224,0.21548,14.2607
458.736,1788243187.197425,33.9835,-2.981,-17.458,0.496584,-0.0763994,0.0310087,0.0497643,0.527593,0.70469,0.17609,12.7815
461.117,1788243189.579094,34.2727,-3.1033,-18.197,0.533354,-0.0796923,0.0360352,0.0704161,0.569389,0.73031,0.18983,15.2040
463.296,1788243191.755792,34.5987,-3.1965,-16.045,0.552754,-0.0816268,0.0519547,0.0927695,0.604709,0.74347,0.22794,17.4512
465.472,1788243193.933508,34.9731,-3.3116,-19.838,0.586003,-0.0866903,0.0670603,0.100473,0.653063,0.76551,0.25896,18.1613
467.544,1788243196.004246,35.2983,-3.4399,-18.657,0.636312,-0.0966584,0.0809334,0.108323,0.717245,0.79769,0.28449,18.8574
469.618,1788243198.076924,35.661,-3.5669,-17.886,0.592606,-0.0783244,0.0881849,0.107809,0.680791,0.76981,0.29696,18.8126
471.692,1788243200.149929,36.0043,-3.6904,-20.183,0.565618,-0.0709505,0.0898814,0.0978009,0.655499,0.75208,0.29980,17.9182
473.768,1788243202.22512,36.3638,-3.8279,-19.515,0.530642,-0.0567168,0.0901016,0.102964,0.620744,0.72845,0.30017,18.3850
475.843,1788243204.298451,36.6959,-3.9571,-18.78,0.555622,-0.0545602,0.105328,0.114929,0.66095,0.74540,0.32454,19.4240
477.913,1788243206.37096,37.0361,-4.076,-17.715,0.566269,-0.0568905,0.104733,0.104053,0.671003,0.75251,0.32363,18.4820
481.338,1788243209.793593,37.4036,-4.2172,-22.344,0.549322,-0.0423258,0.108357,0.102272,0.657679,0.74116,0.32918,18.3232
482.683,1788243211.142157,37.4753,-4.2199,-33.391,0.472842,-0.0462478,0.0716513,0.0698595,0.544493,0.68764,0.26768,15.1438
483.101,1788243211.558666,37.5026,-4.2155,-44.483,0.4158,-0.0514763,0.0435587,0.0423491,0.459359,0.64483,0.20871,11.7908
483.513,1788243211.97365,37.5301,-4.23,-55.906,0.370312,-0.0533461,0.039056,0.0332906,0.409368,0.60853,0.19763,10.4540
483.925,1788243212.387102,37.5356,-4.2432,-67.891,0.354315,-0.0545893,0.0266396,0.0252826,0.380955,0.59524,0.16322,9.1103
484.34,1788243212.801806,37.5084,-4.2342,-79.902,0.328757,-0.0512626,0.025879,0.0210118,0.354636,0.57337,0.16087,8.3053
484.753,1788243213.216584,37.5438,-4.2507,-92.063,0.2565,-0.0393228,0.0260479,0.0210539,0.282548,0.50646,0.16139,8.3136
485.173,1788243213.63105,37.577,-4.2606,-103.868,0.242025,-0.0348815,0.0262812,0.0226874,0.268307,0.49196,0.16211,8.6301
485.588,1788243214.046645,37.6002,-4.2734,-115.839,0.219524,-0.0266776,0.0229794,0.0248355,0.242503,0.46853,0.15159,9.0294
485.997,1788243214.460783,37.5677,-4.2772,-128.386,0.190564,-0.0200482,0.0223,0.0258397,0.212864,0.43654,0.14933,9.2101
486.414,1788243214.874707,37.565,-4.2919,-140.608,0.182294,-0.023915,0.023164,0.0256767,0.205458,0.42696,0.15220,9.1810
